,id,text,likes,comments
0,#Bristruth30653,"hello please help, I need the wisdom of the Bristol student population.

So I'm looking to rent in Bristol and wondered is anyone had used Romans before? As a fourth year I've never come across them before so could do with some reviews.

Also, any other tea or praise for other letting agents in Bristol wouldn't go amiss either.

Please leave your wisdom in the comments xxxx",0,0
1,#Bristruth30652,"Any advice on moving out of your 2nd year house 4 months into your tenancy? I’m having a generally shit time with people I don’t know, can’t trust, and people who make me, a normally cheery individual, feel like completely awful about myself. My parents and I have found a one bed flat but I’m worried moving out on my own will make things worse. I feel I would be missing out on so much if I do life and on top of that, if we go into lockdown I’ll be in my own. The other option would be to move back home as most of my classes are online... What do I do? Is anyone in a similar position?",0,4
2,#Bristruth30651,"advice on how to keep my houseplants alive please, they're all I have left xxx",7,6
3,#Bristruth30650,"Why does every single Brit chew with their mouth open, God the sound is so horrendous.",7,2
4,#Bristruth30649,"There have been so many complaints about online learning but I actually like it. Wondering if anyone agrees:
👍🏼I Like online learning
😢 I don’t like online learning
😡idc but I like complaining about everything",82,0
5,#Bristruth30648,"Anyone else feel that kids nowadays are having a way shitter time than us? I feel so sorry for them, their actual childhood is getting shaped by this stuff. They'll grow up covering their faces and their personalities. Not to mention not see their friends. Look after your siblings. Thanks <3",7,0
6,#Bristruth30647,"PROJECT: TALK UoB Society Peer Support Scheme

We at PROJECT:TALK Bristol Society are offering 1:1 and group check in calls, from established UoB students, to fellow peers in need of a chat due to COVID-19 restrictions.

These calls will be friendly and relaxed; if you need an outlet to offload what you’re going through, or just fancy a chat with someone outside of your bubble, let us know via the following link and we will arrange for one of our volunteers to give you a call at a time that suits you.

Please fill in this form to make a request: https://docs.google.com/forms/d/e/1FAIpQLSeI_n3DFjkjweO1E1f1EwUqwCDunbJzha48ymTp1dX8xEYHog/viewform?usp=sf_link

If you have any questions, please drop us an email at bristoluni@projecttalk.org.uk",13,1
7,#Bristruth30646,"I’m about to be tested for cancer and whilst I’m hopeful it’s not, I’m going to prepare for the worst just in case, so if anyone has suspended their studies. How does the process work and who is the best person to talk to?",19,7
8,#Bristruth30645,Are there any societies groups within the union to talk about anxiety? It would be nice to speak to other people who are also struggling.,20,1
9,#Bristruth30644,"It has recently come to my attention that the official name for the Sainsbury’s on the Triangle is simply, Dingles. I shall henceforth be referring to it as such",33,0
