id,text,likes,comments
#Bristruth30664,to the toxic straight men of the university of bristol please stop tagging your mates in peoples coming out bristruths or anything related to homosexuality you are fostering a culture of homophobia at this university and it makes it a really uncomfortable place for a lot of us to be if you felt personally attacked by this post good you needed to hear it stop doing it because you have no idea what one comment can do,29,0
#Bristruth30663,bristruth30621 if the souths so good why you all heading up north for uni this works both ways darling,3,0
#Bristruth30662,what time do ms on whiteladies road put on the yellow reduced stickers asking for a friend,14,19
#Bristruth30660,big shoutout to my friend who facetimed me the other day for a chat while im on my year abroad and reminded me to eat something and get out of the house doesnt seem like a lot but it was much appreciated,31,0
#Bristruth30659,possibly an unpopular opinion but oj is so much nicer after brushing your teeth,9,6
#Bristruth30658,the uni either need to start enforcing visors or just make them optional one seminar i go in and they dont care another its the end of the world if youre not wearing it plus theres ten of us in a large lecture theatre i need to shout to just talk to anyone isnt that enough of a distance for visors to not really be necessary,43,0
#Bristruth30657,digs wants to carry out in person viewings for november but i am very anxious about having strangers come view my flat with the number of covid19 cases increasing everyday am i within my rights to refuse this please can any law students help out thank you ,36,10
#Bristruth30656,as soon as im out of self isolation im getting fucked up at winesoc ,13,4
#Bristruth30655,after much debate in the house is it acceptable to cook salmon in the dishwasher wrap it in foil and stick it in for a cycle and you get the perfect cooked salmon like for yes this is a great idea heart for no thats unacceptable,85,49
#Bristruth30654,does anyone else have connectivity issues on blackboard collaborate zoom seems to work fine but every time i have a lecture on bb it always disconnects me every 30 seconds,14,0
#Bristruth30653,hello please help i need the wisdom of the bristol student population  so im looking to rent in bristol and wondered is anyone had used romans before as a fourth year ive never come across them before so could do with some reviews  also any other tea or praise for other letting agents in bristol wouldnt go amiss either  please leave your wisdom in the comments xxxx,1,3
